onion salt,ಈರುಳ್ಳಿ ಉಪ್ಪು,Onion salt
oocyte,ಅಂಡಾಣು,Egg
opalescence,ಕ್ಷೀರಸ್ಪಟಿಕತ್ವ,Opalescence
open-end wrench,ಮುಕ್ತ-ದ್ವಾರ ವ್ರೆಂಚ್,Open-end wrench
openbill,ತೆರೆದ ಬಿಲ್,Open bill
operating room,ಕಾರ್ಯ ಕೊಠಡಿ,Operating room
opossum,ಜಲವಾಸಕ್ಕೆ ಹೊಂದುವ ಜಾಲಪಾದದ ಹಿಂಗಾಲುಗಳುಳ್ಳ ಒಂದು ಬಗೆಯ ಪ್ರಾಣಿ,Opossum
optical device,ಆಪ್ಟಿಕಲ್ ಸಾಧನ,Optical Device
optimist,ಆಶಾವಾದಿ,Optimistic
orach,orach,orach
orange,ಕಿತ್ತಳೆ,Orange
orange juice,ಕಿತ್ತಳೆ ರಸ,Orange juice
orange sneezeweed,ಕಿತ್ತಳೆ sneezeweed,Orange sneezeweed
orange-blossom orchid,ಕಿತ್ತಳೆ ಹೂವು ಆರ್ಕಿಡ್,Orange flower orchid
orangutan,ಒರಾಂಗುಟನ್,Orangutan
orchis,orchis,orchis
orderly,ಕ್ರಮಬದ್ಧವಾದ,Orderly
ordinand,ದೀಕ್ಷಾರ್ಥಿ,Ordinand
Oregon maple,ಒರೆಗಾನ್ ಮೇಪಲ್,Oregon maple
organ-grinder,ಆರ್ಗನ್ ವಾದಕ,Organ Grinder
organdy,ನವಿರಾದ ಮಸ್ಲಿನ್ ಬಟ್ಟೆ,Organdy
organic light-emitting diode,ಸಾವಯವ ಬೆಳಕು ಸೂಸುವ ಡಯೋಡ್,Organic light-emitting diode
organization man,ಸಂಸ್ಥೆಯ ವ್ಯಕ್ತಿ,The organization man
organizer,ಸಂಘಟಕ,Co-ordinator
oriental poppy,ಓರಿಯಂಟಲ್ ಗಸಗಸೆ,Oriental poppies
oriental spruce,ಓರಿಯಂಟಲ್ ಮರ,Oriental tree
Orlon,Orlon,Orlon
orpine,ರಸಭರಿತವೂ,Orpine
oryx,ಒರೆಕ್ಸ್,Oryx
oscine,ಹಾಡುಹಕ್ಕಿಗಳ ಒಂದು ಉಪಗಣವಾದ ಪ್ಯಾಸರೀಸ್ಗೆ ಸೇರಿದ,Oscine
osier,ಬೆತ್ತ,Wicker
osso buco,ಮೂಳೆಯ ಕುಳಿ,The bone cavity
otoscope,ಕರ್ಣಪರೀಕ್ಷಕ,Otoscope
otterhound,ಅಟ್ಟರ್ಹೌಂಡ್,Otterhound
ottoman,ಒಟ್ಟೋಮನ್,The Ottoman
out-and-outer,ಔಟ್ ಯಾ ವಸ್ತು,Out-of-material
outboard motor,ಹೊರಗಿನ ಮೋಟಾರ್,Outboard motor
outerwear,ಹೊರಭಾಗದ,Peripheral
output device,ಔಟ್ ಪುಟ್ ಸಾಧನದ,Output device
outrigger,ಮಗ್ಗುಲ,Outrigger
outside caliper,ಹೊರಗೆ ಕ್ಯಾಲಿಪರ್,Outside caliper
ovenbird,ಒಲೆಹಕ್ಕಿ,Ovenbird
overcast,ಕತ್ತಲಿನಿಂದ,Overcast
overcoat,ಮೇಲಂಗಿಯನ್ನು,Cape
overcup oak,overcup ಓಕ್,Oak overcup
overpass,ಹಾದುಹೋಗು,Overpass
owl,ಗೂಬೆ,Owl
owner-occupier,ಒಡೆಯ,Owner
oxlip,ವಸಂತ ಕುಸುಮ,Spring flower
oxtongue,ಎತ್ತಿನ ನಾಲಗೆ,Oxtongue
oyster,ಸಿಂಪಿ,Oysters
oyster fish,ಸಿಂಪಿ ಮೀನು,Shell fish
oyster mushroom,ಸಿಂಪಿ ಅಣಬೆ,Oyster mushroom
oyster plant,ಸಿಂಪಿ ಸಸ್ಯ,Oyster plant
oystercatcher,oystercatcher,oystercatcher
Pacific herring,ಪೆಸಿಫಿಕ್ ಹೆರಿಂಗ್,Pacific herring
Pacific newt,ಪೆಸಿಫಿಕ್ ನ್ಯೂಟ್,Pacific newt
Pacific ridley,ಪೆಸಿಫಿಕ್ ಇಎ,All EA
Pacific sardine,ಪೆಸಿಫಿಕ್ ಸಾರ್ಡೀನಿಯ,Pacific sardine
Pacific spiny dogfish,ಪೆಸಿಫಿಕ್ ಸ್ಪೈನಿ ನಾಯಿ ಮೀನು,Pacific spiny dogfish
pack,ಪ್ಯಾಕ್,Pack
packaging,ಪ್ಯಾಕೇಜಿಂಗ್,Packaging
packhorse,ಹೇರುಗುದುರೆ,Packhorse
packing needle,ಪ್ಯಾಕಿಂಗ್ ಸೂಜಿ,Packing needle
packinghouse,packinghouse,packinghouse
paddle,ಹುಟ್ಟು,Birth
paddle steamer,ಪ್ಯಾಡಲ್ ಸ್ಟೀಮರ್,Paddle Steamer
padrone,ಮಾಸ್ಟರ್,Master
paint,ಬಣ್ಣ,Color
painted greenling,ಬಣ್ಣ greenling,Color greenling
painter,ವರ್ಣಚಿತ್ರಕಾರ,Painter
paisley,ಪೈಸ್ಲೇಯ್,Paisley
pajama,ಪೈಜಾಮ,Pajama
pale ale,ಏಲ್ ತಿಳಿ,Pale ale
palestra,ಜಿಮ್,Jim
pallas's sandgrouse,ಪಲ್ಲಾಸದ ಗೌಜಲಕ್ಕಿ,Pallas's Sandgrouse
pallid bat,ಪ್ಯಾಲಿಡ್ ಬ್ಯಾಟ್,Pallid bat
pallone,ಚೆಂಡನ್ನು,Ball
palm,ಪಾಮ್,Palm
palmate leaf,ಹಸ್ತಾಕಾರದ ಎಲೆ,Palmate leaf
palmetto,ಪಾಮ್್ಲೆಟ್ಟೋ,Palmetto
palmist,ಜ್ಯೋತಿಷಿ,Astrologer
palometa,Palometa,Palometa
paloverde,paloverde,paloverde
Panama redwood tree,ಪನಾಮ ರೆಡ್ವುಡ್ ಮರದಿಂದ,Panama redwood tree
paneling,ಫಲಕ ಜೋಡಣೆಯನ್ನು,Paneling
panelist,ಸದಸ್ಯರೆ,Member
panicle,ಪುನರಾವೃತ್ತಿಯಾಗಿ ಕವಲೊಡೆಯುವ,Panicle
pannikin,ತಟ್ಟೆ,Tray
pansy orchid,ಪ್ಯಾನ್ಸಿ ಆರ್ಕಿಡ್,Pansy Orchid
pantheon,ದೇವತಾಗಣವನ್ನು,Pantheon
pantile,ದೋಣಿಯಾಕಾರದ ಮೂಲೆ ಹಂಚು,Pantile
pantyhose,ಪ್ಯಾಂಟಿಹೋಸ್ನ,Pantyhose
paper chain,ಕಾಗದದ ಸರಣಿ,Paper chain
paper fastener,ಕಾಗದದ ಹಲಗೆ,Paper and board
paper feed,ಕಾಗದವನ್ನು,Paper
paper mulberry,ಕಾಗದದ ಉಪ್ಪುನೇರಳೆ,Paper mulberry
paper nautilus,ಕಾಗದದ ನಾಟಿಲಸ್,The paper nautilus
paper wasp,ಕಾಗದದ ಕಣಜ,Paper wasp
parakeet,ಗಿಳಿ,Parrot
parapet,ದಂಡೆ,Shore
parasitic jaeger,ಪರಾವಲಂಬಿ ಕಡಲಗಿಡುಗ,Parasitic Jaeger
parer,ತಪ್ಪಿಸಿಕೊಳ್ಳುವುದು,Avoidance
parfait,ಪರಿಪೂರ್ಣ,Perfect
parishioner,ಗ್ರಾಮ ನಿವಾಸಿ,Parishioner
park commissioner,ಪಾರ್ಕ್ ಕಮಿಷನರ್,Park Commissioner
parka,ಪಾರ್ಕ್,Park
parlor,ಕೋಣೆಯನ್ನು,Living Room
Parmesan,ಪಾರ್ಮ,Parmesan
parnassia,parnassia,parnassia
parquetry,parquetry,parquetry
parr,ಪಾರ್,Par
Parry manzanita,ಪ್ಯಾರಿ ನಿತ್ಯಹರಿದ್ವರ್ಣದ ಪೊದೆ,Parry manzanita
parsnip,ಪಾರ್ಸ್ನಿಪ್,Parsnips
Parsons table,ಪಾರ್ಸನ್ಸ್ ಟೇಬಲ್,Parsons Table
partial denture,ಆಂಶಿಕ ಹಲ್ಲಿನ ಸೆಟ್,Partial set of teeth
particle detector,ಕಣದ ಡಿಟೆಕ್ಟರ್,Particle detector
particolored buckeye,particolored ಅಮೆರಿಕದ ಓಹಿಯೋ,particolored buckeye
partridge,ಪಕ್ಷಿ,The bird
party line,ಪಾರ್ಟಿ ಲೈನ್,Party Line
party man,ಪಕ್ಷದ ವ್ಯಕ್ತಿ,Party Person
parvis,Parvis,parvis
passenger car,ಪ್ರಯಾಣಿಕ ಕಾರು,Passenger car
passenger ship,ಪ್ರಯಾಣಿಕರ ಹಡಗು,Passenger ship
passer,ಕಳೆಯಲು,To spend
passkey,ಪಾಸ್ಕೀಯನ್ನು,Passkey
pasta,ಪೋಸ್ಟ್,Posts
pasta salad,ಪಾಸ್ಟಾ ಸಲಾಡ್,Pasta Salad
paster,ಕ್ಲೀನ್,Clean
pasture,ಹುಲ್ಲುಗಾವಲು,Meadow
pater,ತಂದೆ,Father
paternoster,ಪಟೆರ್ನೊಸ್ಟರ್,Paternoster
pathogen,ರೋಗಕಾರಕ,Pathogen
patient,ರೋಗಿಯ,The patient
patina,ಕಿಲುಬಾಗಿರುವ,Patina
patio,ಒಳಾಂಗಣದಲ್ಲಿ,Indoors
patriarch,ಹಿರಿಯ,Elderly
patron,ಬಾಸ್,The Boss
pattypan squash,pattypan ಸ್ಕ್ವ್ಯಾಷ್,pattypan squash
pave,ಪೇವ್,Pave
pavior,pavior,pavior
pavis,pavis,pavis
pawn,ಪ್ಯಾದೆಯು,Pawn
pawnbroker's shop,ಗಿರವಿ ವ್ಯಾಪಾರಕ್ಕೆ ಅಂಗಡಿಯಲ್ಲಿ,Pawnbroker shop
pay-phone,ಪೇ ಫೋನ್,Pay phone
pea,ತಲೆಯ,Head
pea weevil,ಬಟಾಣಿ ಜೀರುಂಡೆ,Pea weevil
peach,ಪೀಚ್,Peaches
peach bells,ಪೀಚ್ ಘಂಟೆಗಳು,Peach bells
peach melba,ಪೀಚ್ ಹಣ್ಣಿನ ಐಸ್ ಕ್ರೀಮ್,Peach Melba
peach pit,ಪೀಚ್ ಪಿಟ್,Peach Pit
peachick,ನವಿಲು ಮರಿ,Peachick
peafowl,ನವಿಲು,Peacock
peanut,ಕಡಲೆಕಾಯಿ,Peanut
peanut butter,ಕಡಲೆ ಕಾಯಿ ಬೆಣ್ಣೆ,Chickpea Nut Butter
pear,ಪಿಯರ್,Pier
pearl hominy,ಮುತ್ತಿನ ಮುಸುಕಿನ ಜೋಳದ ತರಿ,Pearl hominy
Pearmain,ವಿಧದ ಸೇಬು,Pearmain
pease pudding,ಬಟಾಣಿ ಕಾಳುಗಳು ಪುಡಿಂಗ್,Pease pudding
pecan,ಪೆಕಾನ್,Pecan
pedal,ಪೆಡಲ್,Pedal
pedal pusher,ಪೆಡಲ್ ವ್ಯಾಪಾರಿ,Pedal pusher
pedestal,ಪೀಠದ,Pedestal
pedestal table,ಪೀಠದ ಟೇಬಲ್,Pedestal table
pedestrian crossing,ಪಾದಾಚಾರಿಗಳಿಗಾಗಿನ,Pedestrian crossing
pedicab,ಸೈಕಲ್ ರಿಕ್ಷಾ,Pedicab
pediment,ಕಟ್ಟಡದ ಮುಂಭಾಗ,Facade
peeper,ಇಣುಕಿ ನೋಡುವವ,Peeper
peg,peg,peg
pegboard,pegboard,pegboard
pelagic bird,ಪೆಲಗಿಕ್ ಹಕ್ಕಿ,Pelagic bird
pelican,ಪೆಲಿಕನ್,Pelican
pelican crossing,ಪೆಲಿಕನ್ ಕ್ರಾಸಿಂಗ್,Pelican crossing
pellitory,pellitory,pellitory
pelycosaur,pelycosaur,pelycosaur
pen,ಪೆನ್,More
penal colony,ದಂಡನೆಯ ನೆಲೆಯಲ್ಲಿ,The penal colony
pencil,ಪೆನ್ಸಿಲ್,Pencil
pencil box,ಪೆನ್ಸಿಲ್ ಪೆಟ್ಟಿಗೆಯ,Pencil box
pendulum,ಲೋಲಕದ,Pendulum
pendulum clock,ಲೋಲಕವನ್ನು,Pendulum
penitentiary,ಪ್ರಾಯಶ್ಚಿತ್ತಾಲಯದಲ್ಲಿ,Penitentiary
pentagon,ಪೆಂಟಗನ್,The Pentagon
pentahedron,pentahedron,pentahedron
people,ಜನರು,People
peplos,peplos,peplos
peplum,Peplum,peplum
pepper,ಮೆಣಸು,Pepper
pepper pot,ಮೆಣಸು ಕ್ಯಾನ್,Can pepper
pepper steak,ಮೆಣಸು ಸ್ಟೀಕ್,Pepper Steak
pepper tree,ಮೆಣಸು ಮರದ,Pepper Tree
pepperoni pizza,ಪೆಪ್ಪೆರೋನಿ ಪಿಜ್ಜಾ,Pepperoni Pizza
percolator,ಶೋಧಿಸುವ ಉಪಕರಣ,Percolator
percussionist,ತಾಳವಾದ್ಯ,Percussion
pere david's deer,ಪೇರಿ ಡೇವಿಡ್ ಜಿಂಕೆ,Pere David's deer
perfect game,ಪರಿಪೂರ್ಣ ಆಟದ,Perfect game
perforation,ರಂಧ್ರ,Pore
perfumery,ಸುಗಂಧದ,Perfumery
periwig,ಪೆರಿವಿಗ್,Periwig
periwinkle,Periwinkle,Periwinkle
permanent press,ಶಾಶ್ವತ ಪತ್ರಿಕಾ,Permanent press
pernyi moth,pernyi ಚಿಟ್ಟೆ,pernyi butterfly
Persian iris,ಪರ್ಷಿಯನ್ ಐರಿಸ್,The Persian Iris
personality,ವ್ಯಕ್ತಿತ್ವ,Personality
pest,ಕೀಟ,Insect
pestle,ಕುಟ್ಟಾಣಿ,Pestle
pesto,ಪೆಸ್ಟೊ,Pesto
petite marmite,ಸಣ್ಣ ಮಡಕೆ,A small pot
petty spurge,ಸಣ್ಣ ಸ್ಪರ್ಜ್,A small spurge
pew,ಪ್ಯೂ,Pew
pharaoh ant,ಫೇರೋ ಇರುವೆ,The pharaoh ant
pharmacist,ಔಷಧಿಕಾರ,Pharmacist
pheasant under glass,ಗಾಜಿನ ಅಡಿಯಲ್ಲಿ ಫೆಸೆಂಟ್,Pheasant under glass
pheasant's-eye,pheasant's ಕಣ್ಣಿನ,pheasant's eye
philanthropist,ಲೋಕೋಪಕಾರಿ,Philanthropist
Phillips screwdriver,ಫಿಲಿಪ್ಸ್ ಸ್ಕ್ರೂಡ್ರೈವರ್,Phillips screwdriver
phlomis,phlomis,phlomis
phoebe,ಫೋಬೆ,Phoebe
Pholiota aurea,Pholiota ಗೋಲ್ಡನ್,Golden Pholiota
Pholiota squarrosa,Pholiota squarrosa,Pholiota squarrosa
phonograph needle,ಫೊನೊಗ್ರಾಫ್ ಸೂಜಿ,Phonograph needle
phosphate,ಫಾಸ್ಫೇಟ್,Phosphate
photocopier,photocopier,photocopier
photographic paper,ಛಾಯಾಗ್ರಾಹಿ ಹಾಳೆಗಳು,Photographic paper
photojournalism,Photojournalism,Photojournalism
photostat,photostat,photostat
physa,physa,physa
physic nut,ವೈದ್ಯಕೀಯ ಅಡಿಕೆ,Medical nut
physical therapist,ದೈಹಿಕ ಚಿಕಿತ್ಸಕ,Physical Therapist
piano action,ಪಿಯಾನೋ ಕ್ರಮ,Piano Method
piano maker,ಪಿಯಾನೋ ತಯಾರಕ,The piano maker
pichi,Pichi,Pichi
pickelhaube,pickelhaube,pickelhaube
picker,ಪಿಕ್ಕರ್,Picker
pickle barrel,ಉಪ್ಪಿನಕಾಯಿ ಬ್ಯಾರೆಲ್,Pickle Barrel
pickle relish,ಉಪ್ಪಿನಕಾಯಿ ಕಂಪು,Pickle relish
pickup,ಎತ್ತಿಕೊಳ್ಳುವ,Pickup
